#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4697     4664      -    no    1 0.41   0.0   58.5   9.3e-05 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_CP015154.1        -         ToxI                 RF02519    cm        1       34     5191     5224      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain Bc601 plasmid pBTBC4, complete sequence
NZ_PDVK01000080.1    -         ToxI                 RF02519    cm        1       34    11916    11949      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain BR145 NODE_80_length_21037_cov_226.763, whole genome shotgun sequence
NZ_RBVK01000078.1    -         ToxI                 RF02519    cm        1       34    11916    11949      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain T414 map unlocalized plasmid p414D NODE_78, whole genome shotgun sequence
NZ_CP011351.1        -         ToxI                 RF02519    cm        1       34    80248    80215      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain YC-10 plasmid pYC3, complete sequence
NZ_CP013059.1        -         ToxI                 RF02519    cm        1       34     8601     8634      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain YWC2-8 plasmid pYWC2-8-4, complete sequence
NZ_NUTC01000069.1    -         ToxI                 RF02519    cm        1       34    41922    41955      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus toyonensis strain AFS040610 AFS040610_104_F7_Contig28_140523, whole genome shotgun sequence
NZ_NUNT01000014.1    -         ToxI                 RF02519    cm        1       34    32430    32463      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus cereus strain AFS034785 AFS034785_108_B2_Contig14_140523, whole genome shotgun sequence
NZ_NUHL01000014.1    -         ToxI                 RF02519    cm        1       34    14679    14712      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus cereus strain AFS053272 AFS053272_104_D11_Contig15_140523, whole genome shotgun sequence
NZ_MKZP01000036.1    -         ToxI                 RF02519    cm        1       34    22751    22784      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain GM5LP BAWEI_contig000036, whole genome shotgun sequence
NZ_MKZQ01000038.1    -         ToxI                 RF02519    cm        1       34    22751    22784      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain GM6LP BACWE_contig000038, whole genome shotgun sequence
NZ_LLWA01000019.1    -         ToxI                 RF02519    cm        1       34     6109     6076      -    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain M2E_15 contig_19, whole genome shotgun sequence
NZ_LLWA01000071.1    -         ToxI                 RF02519    cm        1       34   219228   219261      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain M2E_15 contig_76, whole genome shotgun sequence
NZ_MRWV01000016.1    -         ToxI                 RF02519    cm        1       34    15606    15639      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain S2E19 NODE_16, whole genome shotgun sequence
NZ_KB976202.1        -         ToxI                 RF02519    cm        1       34    35521    35554      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain VDM019 achrj-supercont1.5, whole genome shotgun sequence
NZ_LABT01000009.1    -         ToxI                 RF02519    cm        1       34    26695    26662      -    no    1 0.44   0.0   56.9   0.00022 !   Bacillus mycoides strain WSBC 10969 233, whole genome shotgun sequence
NZ_SMDF01000024.1    -         ToxI                 RF02519    cm        1       34    18825    18858      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus thuringiensis strain LP_1_YM Ga0304823_124, whole genome shotgun sequence
NZ_SMDG01000023.1    -         ToxI                 RF02519    cm        1       34    18825    18858      +    no    1 0.44   0.0   56.9   0.00022 !   Bacillus thuringiensis strain LP_2_YM Ga0304824_123, whole genome shotgun sequence
NZ_NVMO01000037.1    -         ToxI                 RF02519    cm        1       34     1897     1864      -    no    1 0.44   0.0   56.4   0.00029 !   Bacillus cereus strain AFS093598 AFS093598_100_C4_Contig37_140514, whole genome shotgun sequence
NZ_PPFT01000004.1    -         ToxI                 RF02519    cm        1       34     6693     6660      -    no    1 0.44   0.0   56.4   0.00029 !   Bacillus cereus strain EGD-AQ9 Scaffold_4, whole genome shotgun sequence
NZ_NEOT01000028.1    -         ToxI                 RF02519    cm        1       34     3437     3404      -    no    1 0.44   0.0   56.4   0.00029 !   Bacillus sp. MB353a NODE_33_length_3627_cov_644.123_ID_65, whole genome shotgun sequence
NZ_FNUW01000070.1    -         ToxI                 RF02519    cm        1       34     1975     2008      +    no    1 0.38   0.0   56.0   0.00036 !   Bacillus sp. ok061, whole genome shotgun sequence
NZ_NUJY01000152.1    -         ToxI                 RF02519    cm        1       34      183      150      -    no    1 0.35   0.0   54.8   0.00067 !   Bacillus cereus strain AFS045441 AFS045441_68_G4_Contig152_140404, whole genome shotgun sequence
NZ_NUOX01000006.1    -         ToxI                 RF02519    cm        1       34    18659    18626      -    no    1 0.41   0.0   54.8   0.00068 !   Bacillus cereus strain AFS031451 AFS031451_100_E6_Contig6_140514, whole genome shotgun sequence
NZ_SJQA01000053.1    -         ToxI                 RF02519    cm        1       34   106903   106936      +    no    1 0.41   0.0   54.8   0.00068 !   Bacillus mycoides strain B26 NODE_17_length_125523_cov_4.983966, whole genome shotgun sequence
NZ_SEIR01000210.1    -         ToxI                 RF02519    cm        1       34     4091     4058      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus albus strain PFYN01 NODE_210, whole genome shotgun sequence
NZ_QPKA01000051.1    -         ToxI                 RF02519    cm        1       34     4319     4352      +    no    1 0.35   0.0   54.8   0.00069 !   Bacillus sp. AG102 Ga0222358_151, whole genome shotgun sequence
NZ_LMJP01000033.1    -         ToxI                 RF02519    cm        1       34     4597     4564      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus sp. Root11 contig_39, whole genome shotgun sequence
NZ_LMJQ01000029.1    -         ToxI                 RF02519    cm        1       34     4574     4541      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus sp. Root131 contig_35, whole genome shotgun sequence
NZ_CP009344.1        -         ToxI                 RF02519    cm        1       34     4082     4115      +    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis HD1002 plasmid 7, complete sequence
NZ_CM000759.1        -         ToxI                 RF02519    cm        1       34  6112205  6112172      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis IBL 4222 chromosome, whole genome shotgun sequence
NZ_PGDS01000096.1    -         ToxI                 RF02519    cm        1       34      945      978      +    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis serovar israelensis strain BGSC 4Q1 51146, whole genome shotgun sequence
NZ_NFED01000074.1    -         ToxI                 RF02519    cm        1       34     6529     6496      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis serovar israelensis strain BGSC 4Q1 4Q1_contig000074, whole genome shotgun sequence
NZ_NFCT01000108.1    -         ToxI                 RF02519    cm        1       34     6336     6303      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis serovar novosibirsk strain BGSC 4AX1 4AX1_contig000108, whole genome shotgun sequence
NZ_MOOR01000008.1    -         ToxI                 RF02519    cm        1       34     2865     2898      +    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis serovar zhaodongensis strain BGSC 4BZ1 contig000008, whole genome shotgun sequence
NZ_LFXM01000036.1    -         ToxI                 RF02519    cm        1       34       32       65      +    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis strain 147 map unlocalized plasmid unnamed6 contig36, whole genome shotgun sequence
NZ_CP037885.1        -         ToxI                 RF02519    cm        1       34     2457     2424      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis strain Bti plasmid pT0124-2, complete sequence
NZ_CP037454.1        -         ToxI                 RF02519    cm        1       34     2457     2424      -    no    1 0.35   0.0   54.8   0.00069 !   Bacillus thuringiensis strain T0131 plasmid pT0131-2, complete sequence
NZ_NVDI01000015.1    -         ToxI                 RF02519    cm        1       34   128156   128123      -    no    1 0.41   0.0   54.5   0.00082 !   Bacillus thuringiensis strain AFS061653 AFS061653_108_E11_Contig15_140523, whole genome shotgun sequence
NZ_NFDG01000047.1    -         ToxI                 RF02519    cm        1       34     7763     7730      -    no    1 0.41   0.0   54.4   0.00083 !   Bacillus thuringiensis serovar navarrensis strain BGSC 4BM1 4BM1_contig000047, whole genome shotgun sequence
NZ_NUBE01000009.1    -         ToxI                 RF02519    cm        1       34    44961    44928      -    no    1 0.41   0.0   54.4   0.00083 !   Bacillus toyonensis strain AFS024499 AFS024499_99_F2_Contig9_140514, whole genome shotgun sequence
NC_018490.1          -         ToxI                 RF02519    cm        1       34     2829     2862      +    no    1 0.35   0.0   53.5    0.0014 !   Bacillus thuringiensis HD-771 plasmid p08, complete sequence
NZ_NFCH01000209.1    -         ToxI                 RF02519    cm        1       34     2357     2390      +    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar amagiensis strain BGSC 4AE1 4AE1_contig000209, whole genome shotgun sequence
NZ_NFDO01000199.1    -         ToxI                 RF02519    cm        1       34     4488     4455      -    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar azorensis strain BGSC 4CB1 4CB1_contig000199, whole genome shotgun sequence
NZ_NFDR01000052.1    -         ToxI                 RF02519    cm        1       34     2357     2390      +    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar galleriae strain BGSC 4G1 4G1_contig000052, whole genome shotgun sequence
NZ_PGDZ01000076.1    -         ToxI                 RF02519    cm        1       34      245      278      +    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar galleriae strain BGSC 4G4 47263, whole genome shotgun sequence
NZ_NFCF01000058.1    -         ToxI                 RF02519    cm        1       34     2601     2634      +    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar mexicanensis strain BGSC 4AC1 4AC1_contig000058, whole genome shotgun sequence
NZ_JTHH01000003.1    -         ToxI                 RF02519    cm        1       34    10420    10387      -    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar morrisoni strain HD 600 BG10.Contig141, whole genome shotgun sequence
NZ_NFCT01000061.1    -         ToxI                 RF02519    cm        1       34    12638    12605      -    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar novosibirsk strain BGSC 4AX1 4AX1_contig000061, whole genome shotgun sequence
NZ_NFEE01000197.1    -         ToxI                 RF02519    cm        1       34     4498     4465      -    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis serovar wuhanensis strain BGSC 4T1 4T1_contig000197, whole genome shotgun sequence
NZ_KK088298.1        -         ToxI                 RF02519    cm        1       34      178      211      +    no    1 0.38   0.0   52.7     0.002 !   Bacillus thuringiensis strain NBIN-866 scaffold143, whole genome shotgun sequence
NZ_NUAO01000024.1    -         ToxI                 RF02519    cm        1       34    18139    18106      -    no    1 0.41   0.0   50.5    0.0067 !   Bacillus toyonensis strain AFS027646 AFS027646_96_F9_Contig24_140514, whole genome shotgun sequence
NZ_NURW01000035.1    -         ToxI                 RF02519    cm        1       34    60168    60201      +    no    1 0.41   0.0   50.5    0.0067 !   Bacillus toyonensis strain AFS049517 AFS049517_115_F10_Contig35_140618, whole genome shotgun sequence
NZ_NVPC01000049.1    -         ToxI                 RF02519    cm        1       34   121242   121275      +    no    1 0.41   0.0   50.5    0.0067 !   Bacillus toyonensis strain AFS089607 AFS089607_120_A2_Contig49_140618, whole genome shotgun sequence
NZ_FWZH01000010.1    -         ToxI                 RF02519    cm        1       34     4873     4906      +    no    1 0.41   0.0   50.4    0.0072 !   Bacillus cereus strain 16-00183, whole genome shotgun sequence
NZ_NUEK01000034.1    -         ToxI                 RF02519    cm        1       34    29988    29955      -    no    1 0.35   0.0   50.1    0.0084 !   Bacillus toyonensis strain AFS004252 AFS004252_102_E7_Contig34_140514, whole genome shotgun sequence
NZ_NVGM01000004.1    -         ToxI                 RF02519    cm        1       34    13830    13863      +    no    1 0.35   0.0   50.1    0.0084 !   Bacillus toyonensis strain AFS078111 AFS078111_102_H7_Contig4_140514, whole genome shotgun sequence
NZ_NUBZ01000022.1    -         ToxI                 RF02519    cm        1       34    16023    15990      -    no    1 0.38   0.0   49.4     0.012 ?   Bacillus toyonensis strain AFS020717 AFS020717_115_D9_Contig22_140618, whole genome shotgun sequence
NZ_NURS01000019.1    -         ToxI                 RF02519    cm        1       34    16006    15973      -    no    1 0.38   0.0   49.4     0.012 ?   Bacillus toyonensis strain AFS050593 AFS050593_119_B8_Contig19_140618, whole genome shotgun sequence
NZ_PGDT01000058.1    -         ToxI                 RF02519    cm        1       34     4372     4405      +    no    1 0.41   0.0   49.2     0.013 ?   Bacillus thuringiensis serovar medellin strain NRRL 23135 50607, whole genome shotgun sequence
NZ_MOOV01000262.1    -         ToxI                 RF02519    cm        1       34     3380     3347      -    no    1 0.41   0.0   49.2     0.013 ?   Bacillus thuringiensis serovar medellin strain T30001 contig000262, whole genome shotgun sequence
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4731     4698      -    no    1 0.44   0.0   49.0     0.015 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_PGEF01000125.1    -         ToxI                 RF02519    cm        1       34      796      763      -    no    1 0.35   0.0   48.5     0.019 ?   Bacillus thuringiensis serovar japonensis strain strain 62 52808, whole genome shotgun sequence
NZ_QAPB01000103.1    -         ToxI                 RF02519    cm        1       34      429      462      +    no    1 0.35   0.0   48.5     0.019 ?   Bacillus thuringiensis strain BT62 scaffold041, whole genome shotgun sequence
NZ_LRPH01000006.1    -         ToxI                 RF02519    cm        1       34     4072     4105      +    no    1 0.44   0.0   46.1     0.071 ?   Bacillus mycoides strain PE8-15 PE8-15_contig103, whole genome shotgun sequence
NZ_MIJA01000097.1    -         ToxI                 RF02519    cm        1       34      696      729      +    no    1 0.44   0.0   46.1     0.071 ?   Bacillus pumilus strain PE09-72 102, whole genome shotgun sequence
NZ_FWZF01000015.1    -         ToxI                 RF02519    cm        1       34    52866    52833      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain 16-00176, whole genome shotgun sequence
NZ_NTYZ01000006.1    -         ToxI                 RF02519    cm        1       34    32901    32868      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS002848 AFS002848_108_F8_Contig9_140523, whole genome shotgun sequence
NZ_NTYK01000006.1    -         ToxI                 RF02519    cm        1       34    15857    15824      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS004701 AFS004701_95_C5_Contig6_140514, whole genome shotgun sequence
NZ_NTRG01000027.1    -         ToxI                 RF02519    cm        1       34    33702    33669      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS023730 AFS023730_108_G10_Contig27_140523, whole genome shotgun sequence
NZ_NTQR01000039.1    -         ToxI                 RF02519    cm        1       34    20226    20259      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS025457 AFS025457_96_D3_Contig39_140514, whole genome shotgun sequence
NZ_NTQN01000033.1    -         ToxI                 RF02519    cm        1       34    57088    57055      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS025653 AFS025653_106_D5_Contig33_140523, whole genome shotgun sequence
NZ_NTTC01000145.1    -         ToxI                 RF02519    cm        1       34      134      167      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS028292 AFS028292_106_E5_Contig145_140523, whole genome shotgun sequence
NZ_NUNT01000014.1    -         ToxI                 RF02519    cm        1       34    32396    32429      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS034785 AFS034785_108_B2_Contig14_140523, whole genome shotgun sequence
NZ_NUJZ01000004.1    -         ToxI                 RF02519    cm        1       34    23074    23107      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS045348 AFS045348_105_F5_Contig4_140523, whole genome shotgun sequence
NZ_NUJB01000012.1    -         ToxI                 RF02519    cm        1       34    43885    43852      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS048015 AFS048015_82_D11_Contig8_140604, whole genome shotgun sequence
NZ_NUHL01000014.1    -         ToxI                 RF02519    cm        1       34    14645    14678      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS053272 AFS053272_104_D11_Contig15_140523, whole genome shotgun sequence
NZ_NUHB01000009.1    -         ToxI                 RF02519    cm        1       34    28133    28100      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS054163 AFS054163_108_H7_Contig9_140523, whole genome shotgun sequence
NZ_NUWD01000074.1    -         ToxI                 RF02519    cm        1       34    13515    13548      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS084444 AFS084444_100_G10_Contig32_140514, whole genome shotgun sequence
NZ_NUVV01000014.1    -         ToxI                 RF02519    cm        1       34     2065     2098      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS085606 AFS085606_111_B7_Contig19_140604, whole genome shotgun sequence
NZ_NUVB01000010.1    -         ToxI                 RF02519    cm        1       34    48999    49032      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cereus strain AFS087793 AFS087793_84_E11_Contig13_140604, whole genome shotgun sequence
NZ_CP024122.1        -         ToxI                 RF02519    cm        1       34     6919     6886      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_1 plasmid pCh1_67, complete sequence
NZ_CP024110.1        -         ToxI                 RF02519    cm        1       34     4376     4409      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_13 plasmid pCh13_79, complete sequence
NZ_CP024108.1        -         ToxI                 RF02519    cm        1       34    21061    21028      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_15 plasmid pCh15_83, complete sequence
NZ_CP024118.1        -         ToxI                 RF02519    cm        1       34    10394    10427      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_2 plasmid pCh2_83, complete sequence
NZ_CP024106.1        -         ToxI                 RF02519    cm        1       34    28928    28961      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_23 plasmid pCh23_67, complete sequence
NZ_CP024103.1        -         ToxI                 RF02519    cm        1       34    66430    66463      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_25 plasmid pCh25_67, complete sequence
NZ_CP024115.1        -         ToxI                 RF02519    cm        1       34     8026     7993      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_3 plasmid pCh3_83, complete sequence
NZ_CP024100.1        -         ToxI                 RF02519    cm        1       34      363      330      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_38 plasmid pCh38_83, complete sequence
NZ_CP024097.1        -         ToxI                 RF02519    cm        1       34    25221    25188      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_39 plasmid pCh39_83, complete sequence
NZ_CP024112.1        -         ToxI                 RF02519    cm        1       34    21061    21028      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus cytotoxicus strain CH_4 plasmid pCh4_83, complete sequence
NC_010181.1          -         ToxI                 RF02519    cm        1       34    47209    47242      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus weihenstephanensis KBAB4 plasmid pBWB402, complete genome
NZ_MKZP01000036.1    -         ToxI                 RF02519    cm        1       34    22717    22750      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain GM5LP BAWEI_contig000036, whole genome shotgun sequence
NZ_MKZQ01000038.1    -         ToxI                 RF02519    cm        1       34    22717    22750      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain GM6LP BACWE_contig000038, whole genome shotgun sequence
NZ_CP020746.1        -         ToxI                 RF02519    cm        1       34    82967    82934      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain Gnyt1 plasmid unnamed3, complete sequence
NZ_LLWA01000019.1    -         ToxI                 RF02519    cm        1       34     6143     6110      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain M2E_15 contig_19, whole genome shotgun sequence
NZ_LLWA01000071.1    -         ToxI                 RF02519    cm        1       34   219194   219227      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain M2E_15 contig_76, whole genome shotgun sequence
NZ_MRWV01000016.1    -         ToxI                 RF02519    cm        1       34    15572    15605      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain S2E19 NODE_16, whole genome shotgun sequence
NZ_FMAK01000065.1    -         ToxI                 RF02519    cm        1       34    12950    12917      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain SDA_GO95, whole genome shotgun sequence
NZ_KB976202.1        -         ToxI                 RF02519    cm        1       34    35487    35520      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain VDM019 achrj-supercont1.5, whole genome shotgun sequence
NZ_LABT01000009.1    -         ToxI                 RF02519    cm        1       34    26729    26696      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus mycoides strain WSBC 10969 233, whole genome shotgun sequence
NZ_FNQU01000026.1    -         ToxI                 RF02519    cm        1       34    12785    12752      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus sp. cl115, whole genome shotgun sequence
NZ_FQZW01000025.1    -         ToxI                 RF02519    cm        1       34    19077    19110      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus sp. cl25, whole genome shotgun sequence
NZ_FNDM01000025.1    -         ToxI                 RF02519    cm        1       34    19077    19110      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus sp. cl96, whole genome shotgun sequence
NZ_FNUW01000026.1    -         ToxI                 RF02519    cm        1       34    60622    60589      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus sp. ok061, whole genome shotgun sequence
NC_018686.1          -         ToxI                 RF02519    cm        1       34    38889    38922      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis MC28 plasmid pMC183, complete sequence
NZ_NFEP01000250.1    -         ToxI                 RF02519    cm        1       34    10198    10165      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000250, whole genome shotgun sequence
NZ_AMXT02000312.1    -         ToxI                 RF02519    cm        1       34    11804    11837      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar aizawai str. Hu4-2 Contig_312, whole genome shotgun sequence
NZ_CP015180.1        -         ToxI                 RF02519    cm        1       34    63434    63401      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB71, complete sequence
NZ_NFDM01000143.1    -         ToxI                 RF02519    cm        1       34    15220    15253      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000143, whole genome shotgun sequence
NZ_PGSC01000720.1    -         ToxI                 RF02519    cm        1       34    20672    20705      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53271, whole genome shotgun sequence
NZ_PGSC01000226.1    -         ToxI                 RF02519    cm        1       34    20911    20944      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44665, whole genome shotgun sequence
NZ_NFCS01000156.1    -         ToxI                 RF02519    cm        1       34    41417    41450      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar andalousiensis strain BGSC 4AW1 4AW1_contig000156, whole genome shotgun sequence
NZ_PGEH01000397.1    -         ToxI                 RF02519    cm        1       34     2444     2411      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o map unlocalized plasmid p7.1o 54375, whole genome shotgun sequence
NZ_PGEH01000354.1    -         ToxI                 RF02519    cm        1       34    11836    11869      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o 47976, whole genome shotgun sequence
NZ_PHSM01000020.1    -         ToxI                 RF02519    cm        1       34    51363    51330      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59883, whole genome shotgun sequence
NZ_MOXR01000077.1    -         ToxI                 RF02519    cm        1       34    11853    11886      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki strain BP865 scaffold77.1, whole genome shotgun sequence
NZ_CP010002.1        -         ToxI                 RF02519    cm        1       34    69468    69501      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki strain HD 1 plasmid unnamed5, complete sequence
NZ_CP004874.1        -         ToxI                 RF02519    cm        1       34    52823    52856      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki str. HD-1 plasmid pBMB74, complete sequence
NC_020240.1          -         ToxI                 RF02519    cm        1       34    63515    63482      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pAW63, complete sequence
NZ_PGEC01000299.1    -         ToxI                 RF02519    cm        1       34    40186    40219      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar morrisoni strain BGSC 4K1 53149, whole genome shotgun sequence
NZ_JTHH01000008.1    -         ToxI                 RF02519    cm        1       34  1676269  1676236      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar morrisoni strain HD 600 BG10.Contig244, whole genome shotgun sequence
NZ_NFEC01000060.1    -         ToxI                 RF02519    cm        1       34    22508    22541      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar thompsoni strain BGSC 4O1 4O1_contig000060, whole genome shotgun sequence
NZ_NFDZ01000030.1    -         ToxI                 RF02519    cm        1       34    10174    10141      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis serovar tolworthi strain BGSC 4L3 4L3_contig000030, whole genome shotgun sequence
NZ_NTUS01000142.1    -         ToxI                 RF02519    cm        1       34     1391     1358      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS015413 AFS015413_107_D9_Contig142_140523, whole genome shotgun sequence
NZ_NUCJ01000099.1    -         ToxI                 RF02519    cm        1       34     8957     8924      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS018409 AFS018409_101_H11_Contig99_140514, whole genome shotgun sequence
NZ_NTQE01000020.1    -         ToxI                 RF02519    cm        1       34    34103    34136      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS027178 AFS027178_110_C8_Contig20_140523, whole genome shotgun sequence
NZ_NUUL01000108.1    -         ToxI                 RF02519    cm        1       34    14363    14396      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS031473 AFS031473_101_E12_Contig108_140514, whole genome shotgun sequence
NZ_NUTX01000112.1    -         ToxI                 RF02519    cm        1       34     8957     8924      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS034084 AFS034084_114_G5_Contig142_140618, whole genome shotgun sequence
NZ_NUMJ01000046.1    -         ToxI                 RF02519    cm        1       34     3024     2991      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS039999 AFS039999_119_D11_Contig46_140618, whole genome shotgun sequence
