#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_RHDS01000004.1    -         result               -          cm        1       37   343492   343529      +    no    1 0.37   0.0   32.8        24 ?   [Curtobacterium] plantarum strain LMG 16222 LMG16222.00004, whole genome shotgun sequence
NZ_JWFE01000160.1    -         result               -          cm        1       37     5044     5008      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 1039_ABAU 523_116041_1713104, whole genome shotgun sequence
NZ_LGYW01000047.1    -         result               -          cm        1       37    51413    51449      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 10441_14 contig_47, whole genome shotgun sequence
NZ_JWBD01000113.1    -         result               -          cm        1       37    41545    41509      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 1153_ABAU 761_152681_2945138_537__..._219_, whole genome shotgun sequence
NZ_JWAN01000008.1    -         result               -          cm        1       37    41173    41137      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 1168_ABAU 34_152190_2888260, whole genome shotgun sequence
NZ_CP035186.1        -         result               -          cm        1       37  3185177  3185213      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 11A1213CRGN008 chromosome, complete genome
NZ_CP035185.1        -         result               -          cm        1       37  3174471  3174507      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 11A1213CRGN055 chromosome, complete genome
NZ_CP035184.1        -         result               -          cm        1       37  3174482  3174518      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 11A1314CRGN088 chromosome, complete genome
NZ_CP035183.1        -         result               -          cm        1       37  3180906  3180942      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 11A14CRGN003 chromosome, complete genome
NZ_RAHS01000031.1    -         result               -          cm        1       37     4004     4040      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 14A728 NODE_31_length_45193_cov_107.785, whole genome shotgun sequence
NZ_RAHR01000066.1    -         result               -          cm        1       37     4028     4064      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 14A771 14A.771__paired__contig_66, whole genome shotgun sequence
NZ_CP020590.1        -         result               -          cm        1       37   737295   737259      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 15A34 chromosome, complete genome
NZ_CP020574.1        -         result               -          cm        1       37  1573135  1573171      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 15A5 chromosome, complete genome
NZ_RAHQ01000076.1    -         result               -          cm        1       37     3947     3983      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 15A831 15A.831__paired__contig_76, whole genome shotgun sequence
NZ_SETH01000025.1    -         result               -          cm        1       37    41734    41698      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 15A986 contig_0025, whole genome shotgun sequence
NZ_JSDB01000110.1    -         result               -          cm        1       37   145579   145615      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 1999BJAB11 contig_110, whole genome shotgun sequence
NZ_KN708108.1        -         result               -          cm        1       37   145552   145588      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2003BJAB12 scaffold27, whole genome shotgun sequence
NZ_KN708031.1        -         result               -          cm        1       37   145663   145699      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2004BJAB10 scaffold20, whole genome shotgun sequence
NZ_JSCL01000074.1    -         result               -          cm        1       37   145604   145640      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2004BJAB13 contig_74, whole genome shotgun sequence
NZ_KN708092.1        -         result               -          cm        1       37    63235    63271      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2004BJAB14 scaffold21, whole genome shotgun sequence
NZ_JSCO01000071.1    -         result               -          cm        1       37    60823    60787      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2005JSAB1 contig_71, whole genome shotgun sequence
NZ_JSCU01000035.1    -         result               -          cm        1       37     8741     8777      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2005LNAB4 contig_35, whole genome shotgun sequence
NZ_KN708630.1        -         result               -          cm        1       37    68712    68748      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB1 scaffold29, whole genome shotgun sequence
NZ_JRHW01000067.1    -         result               -          cm        1       37     5124     5088      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB2 contig_67, whole genome shotgun sequence
NZ_KN708001.1        -         result               -          cm        1       37   145635   145671      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB3 scaffold19, whole genome shotgun sequence
NZ_KN708045.1        -         result               -          cm        1       37    75002    74966      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB4 scaffold3, whole genome shotgun sequence
NZ_KN708351.1        -         result               -          cm        1       37    74978    74942      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB5 scaffold25, whole genome shotgun sequence
NZ_JSDM01000042.1    -         result               -          cm        1       37    68742    68778      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB6 contig_42, whole genome shotgun sequence
NZ_JSCI01000069.1    -         result               -          cm        1       37    74889    74853      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB7 contig_69, whole genome shotgun sequence
NZ_JSCZ01000092.1    -         result               -          cm        1       37   146315   146351      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011BJAB8 contig_92, whole genome shotgun sequence
NZ_JSDC01000057.1    -         result               -          cm        1       37    11194    11158      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011GDAB1 contig_57, whole genome shotgun sequence
NZ_JSCN01000091.1    -         result               -          cm        1       37    21554    21518      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011GDAB3 contig_91, whole genome shotgun sequence
NZ_JSDE01000075.1    -         result               -          cm        1       37    75836    75800      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011GDAB4 contig_75, whole genome shotgun sequence
NZ_KN708426.1        -         result               -          cm        1       37    74919    74883      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011HNAB1 scaffold24, whole genome shotgun sequence
NZ_JSCT01000065.1    -         result               -          cm        1       37   145653   145689      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011LNAB1 contig_65, whole genome shotgun sequence
NZ_JSDH01000075.1    -         result               -          cm        1       37    75634    75598      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011LNAB2 contig_75, whole genome shotgun sequence
NZ_JSDI01000081.1    -         result               -          cm        1       37    75639    75603      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011LNAB3 contig_81, whole genome shotgun sequence
NZ_JSCQ01000139.1    -         result               -          cm        1       37    75392    75356      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011SDAB1 contig_139, whole genome shotgun sequence
NZ_KN708202.1        -         result               -          cm        1       37    74891    74855      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011SDAB2 scaffold26, whole genome shotgun sequence
NZ_KN708266.1        -         result               -          cm        1       37    75172    75136      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011SDAB3 scaffold15, whole genome shotgun sequence
NZ_KN708152.1        -         result               -          cm        1       37    75183    75147      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011SHAB1 scaffold15, whole genome shotgun sequence
NZ_KN708240.1        -         result               -          cm        1       37   145647   145683      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011ZJAB1 scaffold2, whole genome shotgun sequence
NZ_JSDJ01000094.1    -         result               -          cm        1       37   145541   145577      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011ZJAB2 contig_94, whole genome shotgun sequence
NZ_JSDK01000112.1    -         result               -          cm        1       37   145551   145587      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2011ZJAB3 contig_112, whole genome shotgun sequence
NZ_NDXK01000003.1    -         result               -          cm        1       37    61258    61222      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2012046 Scaffold3, whole genome shotgun sequence
NZ_LQCM01000019.1    -         result               -          cm        1       37   145579   145615      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB1 scaffold6, whole genome shotgun sequence
NZ_LQCN01000018.1    -         result               -          cm        1       37   145959   145995      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB2 scaffold6, whole genome shotgun sequence
NZ_LQCO01000009.1    -         result               -          cm        1       37   145574   145610      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB3 scaffold5, whole genome shotgun sequence
NZ_LQCP01000019.1    -         result               -          cm        1       37    61220    61184      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB4 scaffold6, whole genome shotgun sequence
NZ_LQCQ01000005.1    -         result               -          cm        1       37    74798    74762      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB7 scaffold5, whole genome shotgun sequence
NZ_LQCR01000008.1    -         result               -          cm        1       37    74887    74851      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 2015ZJAB8 scaffold5, whole genome shotgun sequence
NZ_MDTT01000051.1    -         result               -          cm        1       37    60907    60871      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 314 Contig_5_Aba314, whole genome shotgun sequence
NZ_JQSD01000007.1    -         result               -          cm        1       37   123673   123709      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 341 contig_7, whole genome shotgun sequence
NZ_MDTS01000054.1    -         result               -          cm        1       37   146412   146448      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 428 Contig_5_Aba428, whole genome shotgun sequence
NZ_LCTE01000006.1    -         result               -          cm        1       37   123673   123709      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 461 contig_6, whole genome shotgun sequence
NZ_NKXQ01000447.1    -         result               -          cm        1       37      863      899      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 554L contig447, whole genome shotgun sequence
NZ_CP023034.1        -         result               -          cm        1       37  2426405  2426441      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 5845 chromosome, complete genome
NZ_PUEI01000007.1    -         result               -          cm        1       37    74398    74362      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 6009-2 6009_c007, whole genome shotgun sequence
NZ_CP023031.1        -         result               -          cm        1       37  3858561  3858597      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 7847 chromosome, complete genome
NZ_LZTF01000009.1    -         result               -          cm        1       37   145537   145573      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 863 contig_17, whole genome shotgun sequence
NZ_JUKM01000006.1    -         result               -          cm        1       37    41173    41137      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain 996_ABAU 26_152190_3437948, whole genome shotgun sequence
NZ_LKAH01000061.1    -         result               -          cm        1       37   145624   145660      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain A186 16934_5_55.7, whole genome shotgun sequence
NZ_RIAM01000003.1    -         result               -          cm        1       37    61497    61461      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_002 NODE_3_length_207249_cov_151.027, whole genome shotgun sequence
NZ_RIAL01000004.1    -         result               -          cm        1       37    61365    61329      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_014 NODE_4_length_206951_cov_69.2704, whole genome shotgun sequence
NZ_RIAK01000003.1    -         result               -          cm        1       37    74788    74752      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_020 NODE_3_length_220266_cov_16.4764, whole genome shotgun sequence
NZ_RIAJ01000004.1    -         result               -          cm        1       37    61320    61284      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_023 NODE_4_length_207072_cov_55.6086, whole genome shotgun sequence
NZ_RIAI01000021.1    -         result               -          cm        1       37     5087     5051      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_025 NODE_21_length_58238_cov_8.52025, whole genome shotgun sequence
NZ_RIAH01000012.1    -         result               -          cm        1       37    53140    53176      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_026 NODE_12_length_68716_cov_7.55027, whole genome shotgun sequence
NZ_RIAG01000124.1    -         result               -          cm        1       37      132       96      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_029 NODE_124_length_8228_cov_4.88357, whole genome shotgun sequence
NZ_RIAF01000004.1    -         result               -          cm        1       37    74788    74752      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_035 NODE_4_length_220389_cov_61.9772, whole genome shotgun sequence
NZ_RIAE01000002.1    -         result               -          cm        1       37    74965    74929      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_036 NODE_2_length_137709_cov_7.35963, whole genome shotgun sequence
NZ_RIAD01000410.1    -         result               -          cm        1       37      350      386      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_039 NODE_410_length_512_cov_13.4023, whole genome shotgun sequence
NZ_RIAC01000016.1    -         result               -          cm        1       37    75020    74984      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_043 NODE_16_length_80220_cov_29.0294, whole genome shotgun sequence
NZ_RIAB01000002.1    -         result               -          cm        1       37   145564   145600      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_053 NODE_2_length_220528_cov_24.5384, whole genome shotgun sequence
NZ_RIAA01000003.1    -         result               -          cm        1       37   145558   145594      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_056 NODE_3_length_220522_cov_25.5585, whole genome shotgun sequence
NZ_RHZZ01000003.1    -         result               -          cm        1       37   145564   145600      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_062 NODE_3_length_220564_cov_25.6896, whole genome shotgun sequence
NZ_LZOC01000001.1    -         result               -          cm        1       37    68031    68067      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB067 scaffold10xsize148676, whole genome shotgun sequence
NZ_RHZY01000003.1    -         result               -          cm        1       37   145730   145766      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_074 NODE_3_length_207269_cov_22.3501, whole genome shotgun sequence
NZ_RHZX01000005.1    -         result               -          cm        1       37   145564   145600      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_077 NODE_5_length_220351_cov_17.0275, whole genome shotgun sequence
NZ_RHZW01000015.1    -         result               -          cm        1       37    15017    15053      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_083 NODE_15_length_76421_cov_8.53326, whole genome shotgun sequence
NZ_RHZV01000003.1    -         result               -          cm        1       37    74965    74929      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_085 NODE_3_length_220725_cov_23.3755, whole genome shotgun sequence
NZ_RHZU01000059.1    -         result               -          cm        1       37     5360     5324      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_088 NODE_59_length_20376_cov_10.4482, whole genome shotgun sequence
NZ_RHZT01000003.1    -         result               -          cm        1       37   145564   145600      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_091 NODE_3_length_220583_cov_53.4738, whole genome shotgun sequence
NZ_RHZS01000003.1    -         result               -          cm        1       37   145485   145521      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_094 NODE_3_length_220449_cov_22.4954, whole genome shotgun sequence
NZ_RHZQ01000066.1    -         result               -          cm        1       37     5441     5405      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_097 NODE_66_length_14008_cov_18.0637, whole genome shotgun sequence
NZ_RHZP01000020.1    -         result               -          cm        1       37    62718    62754      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_098 NODE_20_length_63356_cov_21.3742, whole genome shotgun sequence
NZ_FPEM01000015.1    -         result               -          cm        1       37    74832    74796      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab1, whole genome shotgun sequence
NZ_QPIA01000007.1    -         result               -          cm        1       37   145645   145681      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB1 scaffold7, whole genome shotgun sequence
NZ_FPGB01000012.1    -         result               -          cm        1       37    74818    74782      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab10, whole genome shotgun sequence
NZ_QPHT01000007.1    -         result               -          cm        1       37   145650   145686      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB10 scaffold6, whole genome shotgun sequence
NZ_RHZO01000004.1    -         result               -          cm        1       37     5089     5053      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_100 NODE_4_length_150733_cov_25.7045, whole genome shotgun sequence
NZ_NKJY01000012.1    -         result               -          cm        1       37     5124     5088      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB100 contig_12, whole genome shotgun sequence
NZ_FPGW01000010.1    -         result               -          cm        1       37    74860    74824      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab101, whole genome shotgun sequence
NZ_FPGV01000012.1    -         result               -          cm        1       37    74907    74871      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab102, whole genome shotgun sequence
NZ_RHZN01000004.1    -         result               -          cm        1       37    74965    74929      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_102 NODE_4_length_220449_cov_27.8411, whole genome shotgun sequence
NZ_MSLX01000263.1    -         result               -          cm        1       37     1174     1210      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab103_GEIH-2010 strain103_575, whole genome shotgun sequence
NZ_RHZM01000003.1    -         result               -          cm        1       37   145564   145600      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_104 NODE_3_length_220351_cov_25.9413, whole genome shotgun sequence
NZ_MSMA01000590.1    -         result               -          cm        1       37      577      541      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab104_GEIH-2010 strain104_1599, whole genome shotgun sequence
NZ_RHZL01000020.1    -         result               -          cm        1       37    53155    53191      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_107 NODE_20_length_59860_cov_7.73864, whole genome shotgun sequence
NZ_FPFN01000015.1    -         result               -          cm        1       37    12496    12460      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab11, whole genome shotgun sequence
NZ_NKJV01000050.1    -         result               -          cm        1       37    61925    61961      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB112 contig_50, whole genome shotgun sequence
NZ_FPGY01000012.1    -         result               -          cm        1       37    74862    74826      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab113, whole genome shotgun sequence
NZ_FPHA01000011.1    -         result               -          cm        1       37    74871    74835      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab114, whole genome shotgun sequence
NZ_UCPY01000014.1    -         result               -          cm        1       37    74865    74829      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab115, whole genome shotgun sequence
NZ_RHZK01000003.1    -         result               -          cm        1       37    75134    75098      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_115 NODE_3_length_220720_cov_30.0026, whole genome shotgun sequence
NZ_FPGP01000009.1    -         result               -          cm        1       37    74860    74824      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab116, whole genome shotgun sequence
NZ_NJIB01000359.1    -         result               -          cm        1       37      250      214      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab_12 AB12_S67_R1__paired__contig_359, whole genome shotgun sequence
NZ_FPEW01000016.1    -         result               -          cm        1       37    12494    12458      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab12, whole genome shotgun sequence
NZ_MSLZ01000244.1    -         result               -          cm        1       37     3199     3235      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab121_GEIH-2010 strain121_651, whole genome shotgun sequence
NZ_UCPO01000010.1    -         result               -          cm        1       37    74854    74818      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab124, whole genome shotgun sequence
NZ_UCPP01000012.1    -         result               -          cm        1       37    74835    74799      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab125, whole genome shotgun sequence
NZ_RHZJ01000004.1    -         result               -          cm        1       37   145724   145760      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_126 NODE_4_length_220688_cov_24.7559, whole genome shotgun sequence
NZ_UCPX01000012.1    -         result               -          cm        1       37    74837    74801      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab128, whole genome shotgun sequence
NZ_UCQA01000016.1    -         result               -          cm        1       37    74848    74812      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab129, whole genome shotgun sequence
NZ_FPGA01000016.1    -         result               -          cm        1       37    12488    12452      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab13, whole genome shotgun sequence
NZ_PXMX01000016.1    -         result               -          cm        1       37    61199    61163      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB13 D60061-13_R1__paired__trimmed__paired__contig_16, whole genome shotgun sequence
NZ_UCQH01000012.1    -         result               -          cm        1       37    74837    74801      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab130, whole genome shotgun sequence
NZ_UCPT01000013.1    -         result               -          cm        1       37    74857    74821      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab131, whole genome shotgun sequence
NZ_UCPW01000013.1    -         result               -          cm        1       37    74857    74821      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab132, whole genome shotgun sequence
NZ_UCPV01000014.1    -         result               -          cm        1       37     1118     1082      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab133, whole genome shotgun sequence
NZ_UCPU01000013.1    -         result               -          cm        1       37    74833    74797      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab134, whole genome shotgun sequence
NZ_NKJT01000033.1    -         result               -          cm        1       37    61967    62003      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB134 contig_33, whole genome shotgun sequence
NZ_UCQE01000011.1    -         result               -          cm        1       37    74834    74798      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab135, whole genome shotgun sequence
NZ_UCQJ01000014.1    -         result               -          cm        1       37    74848    74812      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab136, whole genome shotgun sequence
NZ_UCQP01000009.1    -         result               -          cm        1       37    74838    74802      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab137, whole genome shotgun sequence
NZ_UCQF01000009.1    -         result               -          cm        1       37    74822    74786      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab138, whole genome shotgun sequence
NZ_UCQI01000011.1    -         result               -          cm        1       37    74861    74825      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab139, whole genome shotgun sequence
NZ_FPFD01000017.1    -         result               -          cm        1       37    12496    12460      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab14, whole genome shotgun sequence
NZ_UCQG01000017.1    -         result               -          cm        1       37    74803    74767      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab140, whole genome shotgun sequence
NZ_RHZI01000003.1    -         result               -          cm        1       37   145485   145521      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_140 NODE_3_length_207017_cov_31.6377, whole genome shotgun sequence
NZ_UCQM01000011.1    -         result               -          cm        1       37    74863    74827      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab141, whole genome shotgun sequence
NZ_UCQB01000011.1    -         result               -          cm        1       37    74842    74806      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab142, whole genome shotgun sequence
NZ_UCRB01000010.1    -         result               -          cm        1       37    74852    74816      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab145, whole genome shotgun sequence
NZ_RHZH01000004.1    -         result               -          cm        1       37    61506    61470      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_145 NODE_4_length_207252_cov_37.442, whole genome shotgun sequence
NZ_UCQO01000011.1    -         result               -          cm        1       37    74839    74803      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab146, whole genome shotgun sequence
NZ_UEIY01000010.1    -         result               -          cm        1       37    74863    74827      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab147, whole genome shotgun sequence
NZ_RHZG01000003.1    -         result               -          cm        1       37    61398    61362      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_147 NODE_3_length_207048_cov_30.3428, whole genome shotgun sequence
NZ_RHZF01000002.1    -         result               -          cm        1       37   145753   145789      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain AB_149 NODE_2_length_207256_cov_27.4113, whole genome shotgun sequence
NZ_FPFG01000015.1    -         result               -          cm        1       37    12496    12460      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii strain Ab15, whole genome shotgun sequence
