#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NRNN01000027.1    -         result               -          cm        1       36       17       52      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_LLXC01000069.1    -         result               -          cm        5       36     4762     4731      -    5'    2 0.41   0.0   43.7    0.0031 !   Escherichia coli strain AST_82 Contig_60, whole genome shotgun sequence
NZ_BDPV01000046.1    -         result               -          cm        5       36     4742     4711      -    5'    2 0.41   0.0   43.7    0.0031 !   Escherichia coli strain E1637, whole genome shotgun sequence
NZ_BDPO01000042.1    -         result               -          cm        5       36     4598     4567      -    5'    2 0.41   0.0   43.7    0.0031 !   Escherichia coli strain E1674, whole genome shotgun sequence
NZ_RYWZ01000091.1    -         result               -          cm        5       36        1       32      +    5'    2 0.41   0.0   43.7    0.0031 !   Shigella sonnei strain GCID_CRE_0044 GCID_CRE_0044_NODE_117.ctg_1, whole genome shotgun sequence
NZ_KB002696.1        -         result               -          cm        1       34       34        1      -    3'    3 0.38   0.0   43.1    0.0047 !   Escherichia coli 96.0939 gec960939.contig.21, whole genome shotgun sequence
NZ_ANYJ01000083.1    -         result               -          cm        1       36     6339     6373      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli KTE163 acwoM-supercont1.83, whole genome shotgun sequence
NZ_LYWM01000102.1    -         result               -          cm        1       36      114       80      -    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 017PP2015 NODE_52_length_6515_cov_341.106_ID_5064, whole genome shotgun sequence
NZ_PGJX01000125.1    -         result               -          cm        1       36     1643     1677      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 12b3 NODE_125_length_2426_cov_2.1505, whole genome shotgun sequence
NZ_JHSZ01000034.1    -         result               -          cm        1       36     4202     4236      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 302137 302137_34, whole genome shotgun sequence
NZ_NIEU01000092.1    -         result               -          cm        1       36     4179     4213      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 41.4p 7000000213728155, whole genome shotgun sequence
NZ_NIEV01000235.1    -         result               -          cm        1       36     4168     4202      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 41.5r 7000000213728328, whole genome shotgun sequence
NZ_PIJB01000097.1    -         result               -          cm        1       36     2752     2786      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain 979 L979_S2_L001_R1_001__paired__contig_97, whole genome shotgun sequence
NZ_CP030330.1        -         result               -          cm        1       36     3581     3615      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain AR_452 plasmid unnamed3, complete sequence
NZ_LQTA01000030.1    -         result               -          cm        1       36     3423     3457      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain GN02323 GCID_ECOLID_00039_NODE_125.ctg_1, whole genome shotgun sequence
NZ_LVTF01000053.1    -         result               -          cm        1       36      474      508      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain GN06113 GCID_ECOLID_00243_NODE_138.ctg_1, whole genome shotgun sequence
NZ_QLKA01000117.1    -         result               -          cm        1       36      633      667      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain LMR3193 NODE_122_length_707_cov_696.322086, whole genome shotgun sequence
NZ_CP030113.1        -         result               -          cm        1       36     4010     4044      +    no    1 0.40   0.0   43.1    0.0048 !   Escherichia coli strain MCJCHV-1 plasmid pNMEC-O75B, complete sequence
NZ_SLUJ01000074.1    -         result               -          cm        1       36     2070     2036      -    no    1 0.40   0.0   43.1    0.0048 !   Raoultella planticola strain DSM 2688 Ga0244648_174, whole genome shotgun sequence
NZ_NRNN01000027.1    -         result               -          cm        1       36     4210     4246      +    no    1 0.41   0.0   42.7    0.0062 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_PTPA01000030.1    -         result               -          cm        1       36      580      616      +    no    1 0.41   0.0   42.7    0.0062 !   Cronobacter sakazakii strain MOD1_LR654 LR654_contig_93, whole genome shotgun sequence
NZ_JH964510.1        -         result               -          cm        1       36     4490     4526      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli 07798 E07798.contig.232, whole genome shotgun sequence
NZ_KB002696.1        -         result               -          cm        1       36       71       35      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli 96.0939 gec960939.contig.21, whole genome shotgun sequence
NZ_BDLK01000116.1    -         result               -          cm        1       36     3275     3311      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 11247, whole genome shotgun sequence
NZ_JHRZ01000067.1    -         result               -          cm        1       36     2047     2083      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 200146 200146_67, whole genome shotgun sequence
NZ_PNVD01000064.1    -         result               -          cm        1       36     1865     1901      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 303227 303227_64, whole genome shotgun sequence
NZ_PNZP01000083.1    -         result               -          cm        1       36     4032     3996      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 310003 310003_83, whole genome shotgun sequence
NZ_CYBL01000072.1    -         result               -          cm        1       36      648      684      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 400549_aEPEC, whole genome shotgun sequence
NZ_POAR01000093.1    -         result               -          cm        1       36     2871     2835      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 400584 400584_93, whole genome shotgun sequence
NZ_PNZN01000097.1    -         result               -          cm        1       36     2871     2835      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 400834 400834_97, whole genome shotgun sequence
NZ_PNZK01000069.1    -         result               -          cm        1       36     4184     4220      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 401924 401924_69, whole genome shotgun sequence
NZ_PNTZ01000102.1    -         result               -          cm        1       36      641      677      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 402747 402747_102, whole genome shotgun sequence
NZ_CYEX01000068.1    -         result               -          cm        1       36     2819     2783      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 402842, whole genome shotgun sequence
NZ_POAN01000077.1    -         result               -          cm        1       36     4880     4916      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 403030 403030_77, whole genome shotgun sequence
NZ_CYDA01000070.1    -         result               -          cm        1       36     3896     3860      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 403066, whole genome shotgun sequence
NZ_PNZH01000102.1    -         result               -          cm        1       36      614      650      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 403395 403395_102, whole genome shotgun sequence
NZ_CYFD01000121.1    -         result               -          cm        1       36     3830     3794      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 403523, whole genome shotgun sequence
NZ_PNZF01000088.1    -         result               -          cm        1       36      615      651      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 410519 410519_88, whole genome shotgun sequence
NZ_POSR01000068.1    -         result               -          cm        1       36     4130     4166      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 510242 510242_68, whole genome shotgun sequence
NZ_PNZD01000081.1    -         result               -          cm        1       36     4385     4421      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 603744 603744_81, whole genome shotgun sequence
NZ_PNZC01000160.1    -         result               -          cm        1       36      525      561      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 603766 603766_160, whole genome shotgun sequence
NZ_MOJZ01000041.1    -         result               -          cm        1       36     2071     2107      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 680 BN4_680_1__paired__contig_41, whole genome shotgun sequence
NZ_PNYZ01000057.1    -         result               -          cm        1       36     4385     4421      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 700004 700004_57, whole genome shotgun sequence
NZ_POAB01000129.1    -         result               -          cm        1       36     2872     2836      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 700308 700308_129, whole genome shotgun sequence
NZ_PNSS01000115.1    -         result               -          cm        1       36     2985     2949      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 700329 700329_115, whole genome shotgun sequence
NZ_POAK01000077.1    -         result               -          cm        1       36    15529    15493      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 700500 700500_77, whole genome shotgun sequence
NZ_PNYW01000067.1    -         result               -          cm        1       36     4385     4421      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 700737 700737_67, whole genome shotgun sequence
NZ_PNSO01000091.1    -         result               -          cm        1       36     4755     4791      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 702124 702124_91, whole genome shotgun sequence
NZ_POAJ01000120.1    -         result               -          cm        1       36      607      643      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 702193 702193_120, whole genome shotgun sequence
NZ_PNYU01000080.1    -         result               -          cm        1       36     4385     4421      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 702530 702530_80, whole genome shotgun sequence
NZ_PNSK01000129.1    -         result               -          cm        1       36     8366     8402      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain 702582 702582_129, whole genome shotgun sequence
NZ_NRZM01000112.1    -         result               -          cm        1       36      104       68      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain A344 NODE_69_length_4618_cov_997.601, whole genome shotgun sequence
NZ_NFRU01000073.1    -         result               -          cm        1       36     5254     5290      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC2207 NODE_73_length_5371_cov_84.0038_ID_13583, whole genome shotgun sequence
NZ_NFQZ01000070.1    -         result               -          cm        1       36     1081     1117      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC6195 NODE_70_length_6083_cov_68.4873_ID_13650, whole genome shotgun sequence
NZ_NFQY01000066.1    -         result               -          cm        1       36     1635     1671      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC6335 NODE_66_length_6083_cov_64.647_ID_14022, whole genome shotgun sequence
NZ_NFQX01000065.1    -         result               -          cm        1       36     5000     4964      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC6338 NODE_65_length_6083_cov_193.969_ID_13246, whole genome shotgun sequence
NZ_NFQW01000069.1    -         result               -          cm        1       36     5990     6026      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC7094 NODE_69_length_6103_cov_137.373_ID_17373, whole genome shotgun sequence
NZ_NFQV01000070.1    -         result               -          cm        1       36      938      902      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ARS-CC7983 NODE_70_length_6204_cov_61.2577_ID_17047, whole genome shotgun sequence
NZ_LLXC01000069.1    -         result               -          cm        1       36      240      204      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain AST_82 Contig_60, whole genome shotgun sequence
NZ_QOEN01000059.1    -         result               -          cm        1       36      499      463      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain AVC251 scaffold_58, whole genome shotgun sequence
NZ_LDDQ01000006.1    -         result               -          cm        1       36     3831     3795      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain CFSAN026789 CFSAN026789_contig0005, whole genome shotgun sequence
NZ_LDDP01000008.1    -         result               -          cm        1       36     4747     4711      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain CFSAN026790 CFSAN026790_contig0007, whole genome shotgun sequence
NZ_LDDO01000030.1    -         result               -          cm        1       36     1469     1505      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain CFSAN026791 CFSAN026791_contig0029, whole genome shotgun sequence
NZ_BDPV01000046.1    -         result               -          cm        1       36      112       76      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain E1637, whole genome shotgun sequence
NZ_BDPO01000042.1    -         result               -          cm        1       36      112       76      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain E1674, whole genome shotgun sequence
NZ_QGYV01000191.1    -         result               -          cm        1       36     4542     4578      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ECI-1618 ECI-1618_contig191, whole genome shotgun sequence
NZ_QHAW01000037.1    -         result               -          cm        1       36       60       24      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ECI-241 ECI-241_contig37, whole genome shotgun sequence
NZ_QHAC01000090.1    -         result               -          cm        1       36       60       24      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain ECI-586 ECI-586_contig90, whole genome shotgun sequence
NZ_NLQP01000131.1    -         result               -          cm        1       36     1606     1570      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain MOD1-EC5213 MOD1-EC5213_132_length_3046_cov_73.0381, whole genome shotgun sequence
NZ_NLOX01000052.1    -         result               -          cm        1       36     4813     4777      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain MOD1-EC5463 MOD1-EC5463_52_length_5490_cov_417.408, whole genome shotgun sequence
NZ_NBKH01000018.1    -         result               -          cm        1       36      462      498      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain Spr2012_WWKa_OUT_16 Cont018, whole genome shotgun sequence
NZ_NBKE01000143.1    -         result               -          cm        1       36      956      992      +    no    1 0.41   0.0   42.7    0.0062 !   Escherichia coli strain Spr2012_WWKa_OUT_54 Cont143, whole genome shotgun sequence
NZ_PTRJ01000103.1    -         result               -          cm        1       36     5060     5024      -    no    1 0.41   0.0   42.7    0.0062 !   Escherichia sp. MOD1-EC5457 MOD1-EC5457_104_length_6468_cov_38.5389, whole genome shotgun sequence
NZ_QOIG01000156.1    -         result               -          cm        1       36     3007     2971      -    no    1 0.41   0.0   42.7    0.0062 !   Klebsiella pneumoniae strain BC_1422 NODE_196_length_5048_cov_286.120453, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36       52       88      +    no    1 0.41   0.0   42.7    0.0062 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36     6018     6054      +    no    1 0.41   0.0   42.7    0.0062 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_MXBO01000024.1    -         result               -          cm        1       36     3278     3314      +    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica strain BCW_2544 NODE_24_length_5930_cov_10.0556, whole genome shotgun sequence
NZ_NPOE01000054.1    -         result               -          cm        1       36      462      498      +    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica strain CFSAN064278 CFSAN064278_55, whole genome shotgun sequence
NZ_ALEN01000038.1    -         result               -          cm        1       36     1418     1454      +    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 SEEE4917_26, whole genome shotgun sequence
NZ_ALER01000043.1    -         result               -          cm        1       36     3850     3814      -    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 SEEE6437_30, whole genome shotgun sequence
NZ_ALET01000034.1    -         result               -          cm        1       36     2397     2433      +    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 SEEE7250_29, whole genome shotgun sequence
NZ_ALHW01000482.1    -         result               -          cm        1       36     5329     5365      +    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 76-2651 SEEE2651_257, whole genome shotgun sequence
NZ_ABEJ01000066.1    -         result               -          cm        1       36      244      208      -    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480 gcontig_1106389297848, whole genome shotgun sequence
NZ_CZMQ01000043.1    -         result               -          cm        1       36     3125     3089      -    no    1 0.41   0.0   42.7    0.0062 !   Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462404, whole genome shotgun sequence
NZ_RYWZ01000091.1    -         result               -          cm        1       36     4487     4523      +    no    1 0.41   0.0   42.7    0.0062 !   Shigella sonnei strain GCID_CRE_0044 GCID_CRE_0044_NODE_117.ctg_1, whole genome shotgun sequence
NZ_PNZI01000052.1    -         result               -          cm        4       36        1       33      +    5'    2 0.39   0.0   41.9      0.01 ?   Escherichia coli strain 403047 403047_52, whole genome shotgun sequence
NZ_PNTV01000072.1    -         result               -          cm        4       36        1       33      +    5'    2 0.39   0.0   41.9      0.01 ?   Escherichia coli strain 403625 403625_72, whole genome shotgun sequence
NZ_PNZG01000140.1    -         result               -          cm        4       36        1       33      +    5'    2 0.39   0.0   41.9      0.01 ?   Escherichia coli strain 410343 410343_140, whole genome shotgun sequence
NZ_NFRU01000165.1    -         result               -          cm        2       36        1       36      +    5'    2 0.39   0.0   41.1     0.018 ?   Escherichia coli strain ARS-CC2207 NODE_165_length_914_cov_43.9271_ID_13767, whole genome shotgun sequence
NZ_NRZM01000112.1    -         result               -          cm        1       31       31        1      -    3'    3 0.39   0.0   40.5     0.026 ?   Escherichia coli strain A344 NODE_69_length_4618_cov_997.601, whole genome shotgun sequence
NZ_BBVF01000063.1    -         result               -          cm        8       36     5180     5152      -    5'    2 0.38   0.0   39.0     0.075 ?   Escherichia albertii strain 24, whole genome shotgun sequence
NZ_NCNE01000056.1    -         result               -          cm        1       36     2364     2398      +    no    1 0.43   0.0   38.8     0.086 ?   Klebsiella pneumoniae strain COL-Kpn52 contig_33, whole genome shotgun sequence
NZ_NCNF01000058.1    -         result               -          cm        1       36     2969     2935      -    no    1 0.43   0.0   38.8     0.086 ?   Klebsiella pneumoniae strain COL-Kpn53 contig_28, whole genome shotgun sequence
NZ_QIUT01000078.1    -         result               -          cm        1       36       21       55      +    no    1 0.43   0.0   38.8     0.086 ?   Klebsiella pneumoniae strain WUSM_KP_107 NODE_78_length_5894_cov_40.8649, whole genome shotgun sequence
NZ_QIUT01000078.1    -         result               -          cm        1       36     5838     5872      +    no    1 0.43   0.0   38.8     0.086 ?   Klebsiella pneumoniae strain WUSM_KP_107 NODE_78_length_5894_cov_40.8649, whole genome shotgun sequence
NZ_AKYX01000170.1    -         result               -          cm        1       36     4448     4482      +    no    1 0.43   0.0   38.8     0.086 ?   Klebsiella sp. 10982 contig_10982_170, whole genome shotgun sequence
NZ_NFQW01000069.1    -         result               -          cm        1       36     6063     6098      +    no    1 0.33   0.0   38.2      0.13 ?   Escherichia coli strain ARS-CC7094 NODE_69_length_6103_cov_137.373_ID_17373, whole genome shotgun sequence
NZ_NTYZ01000006.1    -         result               -          cm        1       36    32867    32834      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS002848 AFS002848_108_F8_Contig9_140523, whole genome shotgun sequence
NZ_NTYK01000006.1    -         result               -          cm        1       36    15823    15790      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS004701 AFS004701_95_C5_Contig6_140514, whole genome shotgun sequence
NZ_NTRG01000027.1    -         result               -          cm        1       36    33668    33635      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS023730 AFS023730_108_G10_Contig27_140523, whole genome shotgun sequence
NZ_NUJZ01000004.1    -         result               -          cm        1       36    23108    23141      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS045348 AFS045348_105_F5_Contig4_140523, whole genome shotgun sequence
NZ_NUJB01000012.1    -         result               -          cm        1       36    43851    43818      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS048015 AFS048015_82_D11_Contig8_140604, whole genome shotgun sequence
NZ_NUHB01000009.1    -         result               -          cm        1       36    28099    28066      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS054163 AFS054163_108_H7_Contig9_140523, whole genome shotgun sequence
NZ_NUVV01000014.1    -         result               -          cm        1       36     2099     2132      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS085606 AFS085606_111_B7_Contig19_140604, whole genome shotgun sequence
NZ_NUVB01000010.1    -         result               -          cm        1       36    49033    49066      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus cereus strain AFS087793 AFS087793_84_E11_Contig13_140604, whole genome shotgun sequence
NZ_FNQU01000026.1    -         result               -          cm        1       36    12751    12718      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus sp. cl115, whole genome shotgun sequence
NZ_FQZW01000025.1    -         result               -          cm        1       36    19111    19144      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus sp. cl25, whole genome shotgun sequence
NZ_FNDM01000025.1    -         result               -          cm        1       36    19111    19144      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus sp. cl96, whole genome shotgun sequence
NC_018686.1          -         result               -          cm        1       36    38923    38956      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis MC28 plasmid pMC183, complete sequence
NZ_NFEP01000250.1    -         result               -          cm        1       36    10164    10131      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000250, whole genome shotgun sequence
NZ_AMXT02000312.1    -         result               -          cm        1       36    11838    11871      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar aizawai str. Hu4-2 Contig_312, whole genome shotgun sequence
NZ_CP015180.1        -         result               -          cm        1       36    63400    63367      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB71, complete sequence
NZ_NFDM01000143.1    -         result               -          cm        1       36    15254    15287      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000143, whole genome shotgun sequence
NZ_PGSC01000720.1    -         result               -          cm        1       36    20706    20739      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53271, whole genome shotgun sequence
NZ_PGSC01000226.1    -         result               -          cm        1       36    20945    20978      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44665, whole genome shotgun sequence
NZ_PGEH01000397.1    -         result               -          cm        1       36     2410     2377      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o map unlocalized plasmid p7.1o 54375, whole genome shotgun sequence
NZ_PGEH01000354.1    -         result               -          cm        1       36    11870    11903      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o 47976, whole genome shotgun sequence
NZ_PHSM01000020.1    -         result               -          cm        1       36    51329    51296      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59883, whole genome shotgun sequence
NZ_MOXR01000077.1    -         result               -          cm        1       36    11887    11920      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki strain BP865 scaffold77.1, whole genome shotgun sequence
NZ_CP010002.1        -         result               -          cm        1       36    69502    69535      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki strain HD 1 plasmid unnamed5, complete sequence
NZ_CP004874.1        -         result               -          cm        1       36    52857    52890      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki str. HD-1 plasmid pBMB74, complete sequence
NC_020240.1          -         result               -          cm        1       36    63481    63448      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pAW63, complete sequence
NZ_NFDZ01000030.1    -         result               -          cm        1       36    10140    10107      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis serovar tolworthi strain BGSC 4L3 4L3_contig000030, whole genome shotgun sequence
NZ_NUCJ01000099.1    -         result               -          cm        1       36     8923     8890      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS018409 AFS018409_101_H11_Contig99_140514, whole genome shotgun sequence
NZ_NTQE01000020.1    -         result               -          cm        1       36    34137    34170      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS027178 AFS027178_110_C8_Contig20_140523, whole genome shotgun sequence
NZ_NUUL01000108.1    -         result               -          cm        1       36    14397    14430      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS031473 AFS031473_101_E12_Contig108_140514, whole genome shotgun sequence
NZ_NUTX01000112.1    -         result               -          cm        1       36     8923     8890      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS034084 AFS034084_114_G5_Contig142_140618, whole genome shotgun sequence
NZ_NUMJ01000046.1    -         result               -          cm        1       36     2990     2957      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS039999 AFS039999_119_D11_Contig46_140618, whole genome shotgun sequence
NZ_NUSR01000055.1    -         result               -          cm        1       36    11808    11841      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS043930 AFS043930_101_G11_Contig40_140514, whole genome shotgun sequence
NZ_NUHW01000021.1    -         result               -          cm        1       36    14816    14849      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS052460 AFS052460_98_C8_Contig21_140514, whole genome shotgun sequence
NZ_NVJS01000101.1    -         result               -          cm        1       36     8924     8891      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain AFS061780 AFS061780_101_F11_Contig120_140514, whole genome shotgun sequence
NZ_CP015154.1        -         result               -          cm        1       36     5191     5224      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain Bc601 plasmid pBTBC4, complete sequence
NZ_PDVK01000080.1    -         result               -          cm        1       36    11916    11949      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain BR145 NODE_80_length_21037_cov_226.763, whole genome shotgun sequence
NZ_RBVK01000078.1    -         result               -          cm        1       36    11916    11949      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain T414 map unlocalized plasmid p414D NODE_78, whole genome shotgun sequence
NZ_CP011351.1        -         result               -          cm        1       36    80248    80215      -    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain YC-10 plasmid pYC3, complete sequence
NZ_CP013059.1        -         result               -          cm        1       36     8601     8634      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus thuringiensis strain YWC2-8 plasmid pYWC2-8-4, complete sequence
NZ_NUTC01000069.1    -         result               -          cm        1       36    41922    41955      +    no    1 0.44   0.0   37.9      0.15 ?   Bacillus toyonensis strain AFS040610 AFS040610_104_F7_Contig28_140523, whole genome shotgun sequence
NZ_NEFW01000033.1    -         result               -          cm        1       36      111       77      -    no    1 0.43   0.0   37.5       0.2 ?   Citrobacter freundii strain D36-1 scaf29_1, whole genome shotgun sequence
NZ_KE384342.1        -         result               -          cm        1       36   116631   116666      +    no    1 0.44   0.0   35.4      0.81 ?   Desulfovibrio zosterae DSM 11974 H589DRAFT_scaffold00001.1, whole genome shotgun sequence
NZ_FNUW01000070.1    -         result               -          cm        1       36     1975     2008      +    no    1 0.38   0.0   35.4      0.81 ?   Bacillus sp. ok061, whole genome shotgun sequence
NZ_KB002696.1        -         result               -          cm       10       36     6067     6041      -    5'    2 0.37   0.0   35.4      0.84 ?   Escherichia coli 96.0939 gec960939.contig.21, whole genome shotgun sequence
